Run Date: 10-apr-2014 
Semester: Fall 2014

 
Course	Title	Units	Lec/Sec	Days	Begin	End	Bldg/Room	Location	Instructor(s)
Aerospace Studies-ROTC	 	 	 	 	 	 	 	 	 	 
60210	Electronic Media Studio: Introduction to Interactivity	10.0	A	MW	06:30PM	09:20PM	CFA 318	Pittsburgh, Pennsylvania	Levin
 	 	 	B	TR	08:30AM	11:20AM	CFA 318	Pittsburgh, Pennsylvania	Pell
 	 	 	C	TR	01:30PM	04:20PM	CFA 318	Pittsburgh, Pennsylvania	Pedercini
60223	Introduction to Physical Computing	10.0	A	MW	08:30AM	11:20AM	TBA	Pittsburgh, Pennsylvania	Zeglin, Momeni
60233	Portraiture: The Space Between	10.0	A	MW	08:30AM	11:20AM	MM B14	Pittsburgh, Pennsylvania	Instructor TBA
60241	Black and White Photography II	10.0	A	TR	08:30AM	11:20AM	MM B10	Pittsburgh, Pennsylvania	Prekop
60250	2D Media Studio: Painting	10.0	A	TR	08:30AM	11:20AM	CFA 304	Pittsburgh, Pennsylvania	Slavick
 	 	 	B	TR	01:30PM	04:20PM	CFA 304	Pittsburgh, Pennsylvania	Slavick
60251	2D Media Studio: Print Media	10.0	A	MW	08:30AM	11:20AM	DH C300	Pittsburgh, Pennsylvania	Instructor TBA
60257	Introduction to Computing for Creative Practices	10.0	A	MWF	09:30AM	10:20AM	PH A18A	Pittsburgh, Pennsylvania	Roberts
 	 	 	 	R	12:00AM	01:20PM	WEH 5202	Pittsburgh, Pennsylvania
60354	Aesthetics of Dysfunction: Failed Spectacles, Disasters, & Technology Breakdowns	9.0	A	T	06:30PM	09:20PM	CFA 303	Pittsburgh, Pennsylvania	Ragona
60355	Rights to Representation: Indigenous Peoples and Their Media	9.0	A	TR	03:00PM	04:20PM	SH 208	Pittsburgh, Pennsylvania	Schachter
60361	Trajectories in Photography: Prehistory to 1945	9.0	A	R	06:30PM	09:20PM	PH 226B	Pittsburgh, Pennsylvania	Hsu
60366	Culture in the Public Realm	9.0	A	W	09:00AM	11:20AM	CFA 307	Pittsburgh, Pennsylvania	King
60376	Large Format Photography: The Antiquarian Avant-Garde	10.0	A	F	08:30AM	11:20AM	MM B10	Pittsburgh, Pennsylvania	Griffin
 	 	 	 	F	01:30PM	04:20PM	MM B10	Pittsburgh, Pennsylvania
60399	Art History/Theory Independent Study	9.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60400	Senior Review	0.0	A	TBA			DNM DNM	Pittsburgh, Pennsylvania	Instructor TBA
60401	Senior Studio	10.0	A	TR	01:30PM	04:20PM	CFA 303	Pittsburgh, Pennsylvania	Bellan-Gillen, Burgess, Pell, Reiman
60403	Extended Studio	10.0	A	TR	06:30PM	09:20PM	CFA 4TH FL	Pittsburgh, Pennsylvania	Bellan-Gillen
60415	Advanced ETB: Animation	10.0	A	MW	06:30PM	09:20PM	CFA 317	Pittsburgh, Pennsylvania	Duesing
60417	Advanced ETB: Video	10.0	A	MW	08:30AM	11:20AM	CFA 318	Pittsburgh, Pennsylvania	Andrew
 	 	 	 	MW	08:30AM	11:20AM	CFA 323	Pittsburgh, Pennsylvania
60419	Advanced ETB: Experimental Game Design	10.0	A	TR	06:30PM	09:20PM	CFA 318	Pittsburgh, Pennsylvania	Pedercini
60430	Advanced SIS: Open Sculpture	10.0	A	MW	06:30PM	09:20PM	DH D200	Pittsburgh, Pennsylvania	Mannino
60439	Advanced SIS/CP: Hybrid Instrument Building	10.0	A	MW	01:30PM	04:20PM	DH C200	Pittsburgh, Pennsylvania	Momeni
60448	Advanced CP: Temporary Art in Public Space	10.0	A	MW	01:30PM	04:20PM	DH B302	Pittsburgh, Pennsylvania	Bingham
60453	Advanced DP3: Painting	10.0	A	TR	01:30PM	04:20PM	CFA 4TH FL	Pittsburgh, Pennsylvania	Prekop
60473	Advanced DP3 Special Topic:	10.0	 	 	 	 	 	 
 	Books & Multiples, Originals & Copies	 	A	F	08:30AM	11:20AM	DH C301	Pittsburgh, Pennsylvania	Beck
 	 	 	 	F	01:30PM	04:20PM	DH C301	Pittsburgh, Pennsylvania
60474	Advanced DP3: Special Topic::	10.0	 	 	 	 	 	 
 	Concepts of Figuration	 	A	TR	06:30PM	09:20PM	CFA 313	Pittsburgh, Pennsylvania	Stigliani
60475	Advanced DP3: Print Media	10.0	A	MW	01:30PM	04:20PM	DH C301	Pittsburgh, Pennsylvania	Instructor TBA
60480	Advanced CP: Special Topic	10.0	A	MW	08:30AM	11:20AM	CFA 310	Pittsburgh, Pennsylvania	Rubin
60495	Advanced Studio:	10.0	 	 	 	 	 	 
